google_id,name,dept,h_index,i10index,min_year,max_year,t_publication,t_pubs_citations,highest_citations,mean_of_IF,mean_of_co_authors,num_nsf,t_deflated_nsf,num_nih,t_deflated_nih,Y05yr,KTotal,KDirect,KMediated,Chi,BetCentrality,PRCentrality,XDIndicator,SchoolRank
-5ZxgGsAAAAJ,KENNETH DON MILLER ,BIO,38,60,1988,2017,73,7015,1733,7.104,2.822,26,11937630,15,4332771,1985,37,3,34,0.14084507042253522,3893.235435036538,0.0002472192493360224,BIO,14
-6cOYcYAAAAJ,STEVEN MAXWELL SEITZ ,CS,57,111,1990,2016,132,21125,2563,3.641,3.682,0,0,0,0,1990,348,17,331,0.1388888888888889,8427.607843494989,0.00040806836453841794,CS,6
-6FYTfMAAAAJ,HENRY M PAGE ,BIO,16,23,1995,2015,27,776,94,2.414,4.852,4,1196310,0,0,1995,59,2,57,0.1044776119402985,68.31162559895763,0.00009855793363860763,BIO,50
-78feYUAAAAJ,LAURA M HURLEY ,BIO,17,23,1998,2016,25,640,84,3.182,2.88,3,1071970,0,0,1995,13,0,13,0.03333333333333333,0,0,BIO,34
-aQaHIoAAAAJ,GIACOMO BERNARDI ,BIO,38,83,1985,2016,105,4748,447,3.205,6.276,6,288966,0,0,1985,410,12,398,0.1159090909090909,7761.21352140092,0.0004059303996292188,BIO,55
-BLWw_kAAAAJ,GABRIEL E ZENTNER ,BIO,16,19,2009,2016,20,1053,267,11.632,5.4,0,0,0,0,2005,127,1,126,0.19298245614035087,0,0.00008212419873473758,BIO,34
-chjN0MAAAAJ,ROBERT M PRINGLE ,BIO,25,33,2003,2017,50,2534,325,10.219,7.1,4,887879,0,0,2000,244,5,239,0.07575757575757576,8478.628654790402,0.00017464369945350942,XD,9
-cL-RwUAAAAJ,BARRY ANDREW TRIMMER ,BIO,30,61,1983,2016,80,2602,185,4.194,3.25,12,4844044,0,0,1980,51,5,46,0.14960629921259844,4379.317414744333,0.00021663740541174865,XD,68
-cwEbxUAAAAJ,CHRIS BAILEY-KELLOGG ,CS,21,55,1999,2016,92,1546,105,3.866,6.304,0,0,9,1959621,1995,237,12,225,0.7209302325581395,7007.550639379024,0.000392553384428654,XD,40
-D2TBHUAAAAJ,NOEMIE ELHADAD ,BIO,27,52,2001,2016,70,2663,307,2.859,4.143,4,3317157,13,4218237,2000,229,19,210,0.5714285714285714,5713.296858500443,0.0004505502023066326,XD,15
-DEyRIgAAAAJ,AVITAL ADAH RODAL ,BIO,16,20,1998,2016,25,2025,443,8.958,5.4,1,414093,0,0,1995,152,4,148,0.14457831325301204,4009.5306572655145,0.00020322274270118628,BIO,55
-DfTtxgAAAAJ,GANG WANG ,CS,13,14,2009,2016,22,787,123,1.402,5.909,2,514302,0,0,1995,629,38,591,0.5257352941176471,98999.16667240825,0.0009069299376157709,XD,40
-Dg42W8AAAAJ,SARA M LEWIS ,BIO,35,64,1982,2015,71,3435,462,3.174,2.93,4,862672,0,0,1980,66,6,60,0.03296703296703297,3610.054296829122,0.0002700692159955195,BIO,68
-E5k6m4AAAAJ,GIL ZUSSMAN ,CS,28,41,2002,2016,77,2674,295,2.636,4.805,8,2958105,0,0,2000,162,9,153,0.08527131782945736,2222.0406865559403,0.00022428165617298439,CS,15
-ERiTHkAAAAJ,GILLIAN HEATHER GILE ,BIO,11,13,2006,2016,21,627,173,7.046,9.667,1,0,0,0,2005,201,0,201,0.16666666666666666,0,0,BIO,55
-EXWOU0AAAAJ,DMH WALKER ,CS,27,64,1967,2015,80,1589,113,0.674,3.288,0,0,0,0,1965,153,1,152,0.09,0,0.0000748205842119564,CS,40
-fxI3cUAAAAJ,SEAN R COLLINS ,BIO,28,33,2003,2016,36,9864,2448,21.062,10.667,0,0,0,0,2000,438,7,431,0.40585774058577406,6479.891922704335,0.0002863657000875311,XD,19
-GT5PAkAAAAJ,PAUL ANTHONY FISHWICK ,CS,41,129,1983,2015,178,4558,433,1.077,2.483,2,627432,0,0,1980,79,4,75,0.10077519379844961,1651.7109125879913,0.00014891004842916208,CS,70
-H7Y-VUAAAAJ,CLAUDIA MAY TYLER ,BIO,12,14,1993,2011,18,560,134,2.689,2.278,0,0,0,0,1990,19,0,19,0,0,0,BIO,50
-had2Q8AAAAJ,DAVID G DRUBIN ,BIO,86,173,1983,2016,179,20233,709,8.867,5.86,0,0,87,26377992,1980,590,15,575,0.13878326996197718,21103.469555371936,0.00048652982215459574,BIO,4
-HwCwkAAAAAJ,MARC S MANGEL ,BIO,70,246,1971,2016,312,16915,1436,4.187,3.603,12,2347501,0,0,1970,379,8,371,0.06779661016949153,10315.284094966717,0.0003277729179471319,BIO,55
-iLn_XwAAAAJ,HOPI E HOEKSTRA ,BIO,39,63,1996,2016,70,7140,1352,11.78,4.571,12,2480024,0,0,1995,362,21,341,0.2925531914893617,26067.48635152113,0.0006240296314999813,XD,1
-IMW-w0AAAAJ,BEICHUAN ZHANG ,CS,39,85,1998,2016,76,5198,608,1.867,5.329,7,1908621,0,0,1995,378,11,367,0.3013698630136986,1023.5872502396118,0.0002619301684565896,XD,40
-Jbd9DsAAAAJ,GOPAL GUPTA ,CS,27,86,1985,2016,161,2838,200,0.996,3.18,23,10606918,0,0,1985,163,7,156,0.10569105691056911,5545.3103664551745,0.0002483367798807128,CS,70
-jW6ADwAAAAJ,BILL TOMLINSON ,CS,23,47,1996,2016,89,2371,736,2.163,4.64,0,0,0,0,1995,153,11,142,0.07514450867052024,718.1553422120695,0.0002856423088243045,CS,29
-Jz7TjkAAAAJ,MALAIYALAM MARIAPPAN ,BIO,12,13,2003,2015,18,998,273,15.091,6.833,0,0,1,0,2000,20,0,20,0.08695652173913043,0,0,BIO,7
-LPp6oUAAAAJ,AARON D GITLER ,BIO,39,63,2000,2016,74,7647,891,13.442,11.108,0,0,18,6807823,2000,529,7,522,0.1801980198019802,6843.2207045784735,0.00027483052013268497,XD,1
-LyegNoAAAAJ,NEAL F LUE ,BIO,33,55,1986,2015,66,3561,551,8.262,4.288,1,603957,0,0,1985,345,1,344,0.14925373134328357,0,0.00007509455946095689,BIO,26
-m5wrTkAAAAJ,GAUTAM BISWAS ,CS,45,207,1981,2017,401,8499,345,1.781,3.84,21,10586467,0,0,1980,373,11,362,0.09685230024213075,14708.982317265609,0.0003714606560390076,CS,56
-MQXqOkAAAAJ,DAVID SAMUEL SCHNEIDER ,BIO,31,49,1982,2016,57,3758,319,10.939,4.439,9,1266207,7,152252,1980,177,4,173,0.13636363636363635,4880.320540384598,0.00018317239689028594,XD,1
-NkxFNoAAAAJ,MAHESH BALAKRISHNAN ,CS,19,26,2005,2016,47,1440,231,1.217,4.681,1,0,0,0,2005,169,5,164,0.05172413793103448,317.60047769383164,0.00013484231758386218,CS,20
-o3I0zUAAAAJ,ZHIPING WENG ,BIO,78,170,1994,2017,223,26750,3903,11.83,9.578,7,7436716,37,21291013,1990,1270,29,1241,0.45218945487042,30196.782539138432,0.0006912895859575453,XD,50
-OdJO1UAAAAJ,DANIEL JAMES KLIEBENSTEIN ,BIO,53,92,1994,2016,116,8884,478,6.891,5.172,7,4157534,0,0,1990,363,10,353,0.21933085501858737,5498.939750703149,0.0003098281783806839,XD,19
-PWcE1YAAAAJ,RAN CANETTI ,CS,66,144,1991,2016,160,22233,1723,1.166,3.581,4,2173016,0,0,1990,335,29,306,0.03409090909090909,8579.139599977681,0.0005884331408528478,CS,48
-PWYRzIAAAAJ,GRETCHEN E HOFMANN ,BIO,44,84,1990,2017,88,6531,781,4.174,5.307,24,5876135,0,0,1990,358,7,351,0.15613382899628253,6746.826437005894,0.00027729424136326746,BIO,50
-pyztDMAAAAJ,TANZEEM KHALID CHOUDHURY ,CS,42,68,1999,2016,98,8246,1544,2.815,5.316,5,3484325,0,0,1995,417,10,407,0.1393939393939394,3587.7436289378184,0.00024039792349244598,CS,6
-qFHOKsAAAAJ,CHRISTIANE HASSEL ,BIO,4,3,2010,2014,4,168,102,14.097,6.75,0,0,0,0,2010,50,1,49,0.125,0,0.0000669509591288483,BIO,34
-QZrYjsAAAAJ,BENJAMIN OHLSTEIN ,BIO,13,14,1995,2015,15,2365,528,14.165,3.867,0,0,7,1886949,1995,34,0,34,0.09375,0,0,BIO,14
-rcrelQAAAAJ,TYSON L HEDRICK ,BIO,25,38,2000,2016,70,2627,484,4.216,4.143,8,2043022,0,0,2000,160,13,147,0.425,25605.20471807524,0.0005026112776716056,XD,26
-S8_yskAAAAJ,PETER ZHIFENG QIN ,BIO,23,36,1997,2016,44,1508,148,4.967,4.909,3,1282592,7,2437544,1995,117,3,114,0.16279069767441862,345.19034754062375,0.00013899401351361284,BIO,55
-sGaL8sAAAAJ,KRIS K HAUSER ,CS,24,38,2002,2016,62,1690,131,2.354,3.419,8,2404620,0,0,2000,130,5,125,0.12658227848101267,256.95076666283734,0.00015358965309442244,CS,25
-SM7MpYAAAAJ,ROGER ZIMMERMANN ,CS,10,10,2008,2014,12,303,80,1.234,3.75,0,0,0,0,1990,135,8,127,0.16176470588235295,889.0114131592858,0.00020657146492153612,CS,70
-smZI6MAAAAJ,ANTHONY G VECCHIARELLI ,BIO,8,8,2007,2016,15,373,95,6.186,4.133,0,0,0,0,2005,56,0,56,0.15,0,0,BIO,19
-spRnaQAAAAJ,JAVED ALEXANDER ASLAM ,CS,36,68,1990,2016,106,5353,699,1.969,3.575,10,9018131,0,0,1990,182,8,174,0.14942528735632185,2084.5892333738457,0.0002307924285716143,CS,60
-teHhxwAAAAJ,MARK A PEIFER ,BIO,65,115,1982,2017,120,13506,1139,11.89,4.483,3,514817,26,7189302,1980,201,8,193,0.09917355371900827,8376.64592691311,0.0002781168500317231,XD,26
-u5lh-0AAAAJ,CHELSEA L WOOD ,BIO,10,10,2007,2015,13,483,157,10.377,4.615,0,0,0,0,2005,50,3,47,0.022727272727272728,26.99499033074284,0.00011930767675278352,BIO,19
-UyfaYEAAAAJ,STANLEY FALKOW ,BIO,144,431,1957,2012,474,68534,5602,8.015,3.787,0,0,18,6005167,1955,456,9,447,0.07510431154381085,3698.3065785450885,0.00031139105726230194,BIO,1
-vC_l2kAAAAJ,STEPHANIE CLAUDENE WEIRICH ,CS,29,47,1996,2016,67,2982,329,0.758,3.358,11,3966597,0,0,1995,146,10,136,0.05970149253731343,2525.079038254008,0.00026582407851755775,CS,19
-vrMfNMAAAAJ,JOHN E GATESY ,BIO,38,62,1992,2016,68,5819,664,8.038,5.485,10,2218034,0,0,1990,545,4,541,0.6,1309.0867784667219,0.00013194429767134896,XD,68
-wT1eCwAAAAJ,SEYOUNG KIM ,CS,15,16,2004,2015,26,998,207,3.441,3.769,1,327085,0,0,2000,57,4,53,0.4594594594594595,237.35430676111488,0.00011829972194925666,CS,1
-XCc1JQAAAAJ,WEIWEI ZHONG ,BIO,12,14,1999,2015,17,1130,282,9.513,7.176,0,0,10,2672027,1995,117,1,116,0.21739130434782608,0,0.00006687306996462443,BIO,42
-xOxPsUAAAAJ,STEPHEN DOUGLAS HENDRIX ,BIO,23,33,1972,2016,43,1757,190,3.083,4.14,2,527057,0,0,1970,108,1,107,0.04032258064516129,0,0.0000759985019315078,BIO,55
-XpZ4fgAAAAJ,SCOTT ALAN MAHLKE ,CS,61,177,1991,2016,236,12326,771,1.24,4.703,13,7010087,0,0,1990,250,18,232,0.06542056074766354,5522.755099570493,0.000442762273626106,CS,13
-XXZGEoAAAAJ,SCOTT ANTHONY GERBER ,BIO,38,66,1999,2016,90,16012,5362,7.401,6.189,0,0,19,3806703,1995,361,12,349,0.14950166112956811,9425.25428431441,0.0004078444087174592,XD,38
-yrzguMAAAAJ,SRINIVAS DEVADAS ,CS,76,242,1986,2016,311,20063,1095,1.977,3.862,16,7385681,0,0,1985,399,14,385,0.13043478260869565,10543.979152671967,0.00034362648725424436,XD,1
-YvgZDEAAAAJ,ABRAHAM SILBERSCHATZ ,CS,74,246,1977,2015,178,10895,862,1.497,3.388,0,0,0,0,1975,348,10,338,0.1503267973856209,3424.567496445391,0.0002280648866924631,CS,20
-YZ5mIIAAAAJ,D ALLAN DRUMMOND ,BIO,19,19,2005,2015,24,2625,617,14.287,4.5,0,0,0,0,2005,69,8,61,0.2926829268292683,2931.8172477547487,0.0002536013473492885,BIO,14
-ZqZyP0AAAAJ,NEHA KUMAR ,CS,6,5,2011,2015,10,92,18,3.11,3.7,0,0,0,0,2000,28,5,23,0.08333333333333333,811.3987324887396,0.00017305427800961176,CS,9
-_yz0eUAAAAJ,INGRID M PARKER ,BIO,33,52,1993,2016,57,8395,2310,4.512,4.491,9,3290690,0,0,1990,151,6,145,0.06918238993710692,4269.156303114208,0.00023500819702489129,BIO,55
0-hcsnoAAAAJ,ELIZABETH LOWDEN BRAINERD ,BIO,25,50,1985,2016,65,1985,231,6.262,3.215,15,3693422,0,0,1985,61,7,54,0.10891089108910891,4919.75315194337,0.0002877066532028852,XD,34
008lr2cAAAAJ,TOBIAS HANS HOELLERER ,CS,43,110,1995,2016,117,4124,1174,1.522,4.556,0,0,0,0,1995,277,23,254,0.07662835249042145,11952.663177224586,0.0005136255528426791,CS,34
00H10pgAAAAJ,JONATHAN B DEMB ,BIO,33,43,1994,2016,52,5765,898,7.656,4.365,0,0,31,6191239,1990,99,3,96,0.17204301075268819,7681.48247020172,0.00029194081667428525,BIO,7
00M1AqQAAAAJ,JOHN DAVID KUBIATOWICZ ,CS,51,97,1990,2016,124,19113,2974,1.403,6,3,5836729,0,0,1990,660,31,629,0.34935897435897434,17121.17661987737,0.0006231603954247319,XD,1
01EOkNEAAAAJ,ROEL NUSSE ,BIO,94,164,1978,2015,169,31342,2091,12.533,4.982,0,0,9,1329160,1975,566,7,559,0.12291666666666666,7046.749696853191,0.00027192720781531795,BIO,1
01U4ahgAAAAJ,KAREN A HUDSON ,BIO,9,9,2010,2016,14,273,116,3.446,8.357,0,0,0,0,2010,200,2,198,0.7473684210526316,0,0.00008427058091434745,XD,55
022gx2QAAAAJ,MARCO MANGONE ,BIO,8,8,2000,2016,13,2195,1104,10.745,16.462,0,0,3,326110,2000,365,8,357,0.5,224.7212437495562,0.0002267251166512278,BIO,55
02nHF0gAAAAJ,RAJESH PN RAO ,CS,51,117,1991,2016,166,10640,1835,4.328,3.627,13,15635109,0,0,1990,152,9,143,0.07741935483870968,3093.7277128626315,0.00023879586216108382,CS,6
02_kT4YAAAAJ,JEFF ERICKSON ,CS,32,62,1994,2016,78,3907,506,1.043,3.59,8,2659630,0,0,1990,299,15,284,0.2018348623853211,4716.148437964775,0.0003497043652079975,CS,5
03uVItYAAAAJ,COLIN MARK ORIANS ,BIO,38,73,1995,2016,75,2760,141,3.132,3.907,11,2817499,0,0,1995,72,5,67,0.016666666666666666,4741.590795725072,0.00021974479179155714,BIO,68
04pdXhgAAAAJ,PEIXUAN GUO ,BIO,51,146,1982,2017,177,6667,262,6.568,4.684,1,366784,54,15809067,1980,632,8,624,0.2572347266881029,7636.799788463971,0.00031598956059999045,XD,42
04TuVhEAAAAJ,DAVID SAMUEL BINDEL ,CS,21,29,1999,2016,49,4305,2974,1.511,4.653,1,0,0,0,1995,243,8,235,0.15,957.1166720541763,0.00018559606589087284,CS,6
05cijuQAAAAJ,PHILIP LF JOHNSON ,BIO,21,28,2002,2015,25,6535,1965,18.812,17.8,4,1382894,2,8594559,2000,459,9,450,0.3197278911564626,2712.4529789497988,0.00026360641019811305,BIO,55
05UuCNQAAAAJ,JERRY M MELILLO ,BIO,123,299,1977,2016,305,56781,7713,6.872,7.718,16,15502454,0,0,1975,634,19,615,0.1384297520661157,34408.50788020731,0.0005895804889236439,XD,34
060zUaAAAAAJ,KAREN L CARLETON ,BIO,33,62,1981,2016,63,3709,635,7.089,5.651,6,1476121,0,0,1980,201,5,196,0.16489361702127658,3871.74391050089,0.00020791472661996105,BIO,55
06hgT8gAAAAJ,TAESOO KIM ,CS,30,126,2010,2017,41,514,114,3.322,5.024,3,894034,0,0,2010,218,12,206,0.3229166666666667,10503.250232282631,0.00032182143096683266,XD,9
078_pfUAAAAJ,XIAOHUI QU ,BIO,9,9,2002,2012,9,611,288,9.898,5.444,0,0,0,0,2000,97,6,91,0.48,913.2381584449729,0.00019894866064300358,BIO,26
07ds-DAAAAAJ,JENNIFER LYNN REXFORD ,CS,92,244,1992,2017,310,33089,5512,2.099,4.123,20,13301795,0,0,1990,890,37,853,0.12531969309462915,19135.132995605512,0.0007438810398865519,CS,8
07Z4HAQAAAAJ,VARUN CHANDOLA ,CS,16,18,2005,2016,35,4882,3687,3.25,3.971,3,1797968,0,0,2005,89,9,80,0.18032786885245902,3911.391519270718,0.0002458033614634552,CS,63
099CBXIAAAAJ,PAUL MITAARI MAGWENE ,BIO,15,17,1996,2016,21,1183,354,7.882,3.048,4,1226569,0,0,1995,71,1,70,0.2222222222222222,0,0.00025641025641025646,BIO,11
0a2d8rQAAAAJ,JEAN-JU CHUNG ,BIO,12,12,2000,2014,10,406,130,6.815,5.1,0,0,0,0,2000,91,0,91,0.12903225806451613,0,0,BIO,7
0ahvXiEAAAAJ,MICHAEL P CUMMINGS ,BIO,42,63,1990,2016,68,4955,344,5.684,6.279,14,17810221,16,2853056,1990,299,11,288,0.17587939698492464,13319.77476097183,0.00040530734602954913,BIO,55
0Bi5CMgAAAAJ,ARVIND NARAYANAN ,CS,23,33,2003,2017,43,4231,1258,2.038,3.651,3,920545,0,0,2000,180,7,173,0.125,1604.6234164860643,0.00017483332419164401,CS,8
0CAVqY4AAAAJ,CHONG HYUN SHIN ,BIO,12,12,1996,2016,13,718,204,7.18,8.385,0,0,0,0,1995,105,2,103,0.0875,3867.0000000000005,0.00017091904827309001,BIO,55
0cq9zpQAAAAJ,PAUL SAMUEL MADDOX ,BIO,41,55,1997,2016,71,5641,365,8.109,6.831,2,915560,0,0,1995,345,13,332,0.17408906882591094,3739.002476889904,0.00041773633452314837,XD,26
0cy3s0AAAAAJ,RACHEL D GREEN ,BIO,50,96,1989,2017,109,7116,443,11.31,5.055,0,0,21,5851172,1985,352,10,342,0.11956521739130435,8073.184593373329,0.0003398943883607323,BIO,5
0d3SpjQAAAAJ,ABIGAIL LS SWANN ,BIO,7,5,2006,2016,10,294,126,6.066,5.4,3,571820,0,0,2005,55,1,54,0.10526315789473684,0,0.00025641025641025646,BIO,19
0dIBL4AAAAAJ,PERISTERA PASCHOU ,BIO,17,21,2004,2016,32,937,194,5.814,13.969,0,0,0,0,2000,231,1,230,0.40823970037453183,0,0.00006412021445555469,XD,55
0DpK1EMAAAAJ,TUOMAS W SANDHOLM ,CS,73,204,1992,2017,274,18307,1288,4.242,2.832,17,7628991,0,0,1990,242,8,234,0.07653061224489796,1310.3089755113133,0.00020738132450387275,CS,1
0e8QmOMAAAAJ,JEFFREY L DENBURG ,BIO,16,30,1965,2005,48,1080,118,5.06,2.125,0,0,0,0,1965,26,0,26,0.06896551724137931,0,0,BIO,55
0ESwQagAAAAJ,THOMAS J GIVNISH ,BIO,60,97,1976,2017,107,11617,1516,5.291,4.439,18,6219494,0,0,1975,189,7,182,0.08962264150943396,2096.4847492787826,0.0002439720605840044,BIO,18
0fq5QeIAAAAJ,PAVEL A PEVZNER ,CS,79,184,1989,2017,213,22466,1702,7.985,5.07,5,2108751,0,0,1985,808,22,786,0.6541218637992832,33871.585564925925,0.0006093454034561353,XD,15
0fVKnEcAAAAJ,MICHAEL TRAVISANO ,BIO,30,48,1985,2016,66,5338,850,6.841,3.606,6,1722961,0,0,1985,164,7,157,0.14414414414414414,5235.798496909504,0.00027806423124193273,BIO,34
0goLOJ4AAAAJ,VIKAS BHANDAWAT ,BIO,7,7,2005,2016,10,814,218,12.382,3.4,0,0,0,0,2005,14,1,13,0,0,0.00012562813252868401,BIO,11
0gtvj54AAAAJ,STEPHANIE E PALMER ,BIO,7,7,2007,2016,8,142,59,5.374,4,0,0,0,0,2005,19,1,18,0.21052631578947367,0,0.00010850699911347625,BIO,14
0IHc9DUAAAAJ,CARL K CHANG ,CS,23,65,1963,2016,137,2356,301,1.529,3.591,5,729255,0,0,1960,393,5,388,0.20098039215686275,5109.114969482756,0.00020578823253703074,CS,63
0iJRaawAAAAJ,JAMES P COHOON ,CS,25,46,1983,2013,64,2849,384,1.633,2.641,0,0,0,0,1980,42,3,39,0.08333333333333333,132.09628057544563,0.0001063227868290776,CS,29
0irVeiQAAAAJ,SRINIVASAN SESHAN ,CS,60,117,1993,2016,150,18365,1908,1.56,5.027,7,4497988,0,0,1990,619,35,584,0.11406844106463879,17368.988269881876,0.0006978600473444638,CS,1
0IrZEuIAAAAJ,URSULA W GOODENOUGH ,BIO,59,107,1969,2016,139,7629,382,7.466,3.446,11,4861441,0,0,1965,302,2,300,0.13551401869158877,525.0640531686589,0.00009324328861953665,BIO,11
0j1TcuMAAAAJ,ILYA J FINKELSTEIN ,BIO,19,24,2003,2016,27,1227,197,8.691,4.926,1,301249,9,947447,2000,85,2,83,0.08620689655172414,3867,0.0001953198235399089,BIO,30
0JLkp6FGK_AC,BRUCE A CARLSON ,BIO,15,23,2000,2016,38,711,68,5.459,2.395,3,1005507,3,158085,2000,34,2,32,0.1,158.1152520475487,0.00013203268368565163,BIO,11
0jSdqoEAAAAJ,BRIAN MICHAEL SCASSELLATI ,CS,40,86,1994,2016,130,6276,657,2.235,3.369,8,4944339,0,0,1990,133,3,130,0.06164383561643835,103.32375599812325,0.0001105407541787352,CS,20
0Kl8sf4AAAAJ,CORNELIUS S BARRY ,BIO,24,31,1993,2016,36,3046,413,6.658,7.639,2,3714098,0,0,1990,132,2,130,0.36065573770491804,18.163912564838313,0.00008456602134822152,XD,50
0Kvq4bUAAAAJ,JAN HOFFMANN ,CS,13,15,2007,2017,22,429,91,0.667,3.045,1,420954,0,0,2005,26,2,24,0,312.9016330125936,0.00009720046388411759,CS,1
0lcJYs8AAAAJ,TIM ROUGHGARDEN ,CS,49,105,1999,2016,131,9485,1756,1.45,2.565,5,1837957,0,0,1995,269,23,246,0.14285714285714285,8535.238043009604,0.0005090209726922551,CS,1
0LS98DEAAAAJ,YAOYUN SHI ,CS,20,29,2000,2016,39,1520,206,1.703,2.256,0,0,0,0,2000,118,3,115,0.21428571428571427,364.4572443965832,0.00011490287872255031,CS,13
0LYr5i8AAAAJ,ANTONY M JOSE ,BIO,9,9,2001,2016,10,314,92,8.304,3.2,0,0,0,0,2000,14,1,13,0.2631578947368421,0,0.00007292344421770898,BIO,55
0nBysEcAAAAJ,ALFRED KOBSA ,CS,48,104,1982,2016,137,7771,858,1.675,2.54,7,4174846,0,0,1980,245,11,234,0.064,6417.267339411361,0.0002724883516939316,CS,29
0NdRYeoAAAAJ,DANIEL L RABOSKY ,BIO,33,49,2000,2016,55,5567,664,7.868,5.873,4,591400,0,0,2000,248,14,234,0.11538461538461539,10502.018877802833,0.000427561344589815,BIO,19
0OdjAAkAAAAJ,GONZALO GIRIBET ,BIO,62,208,1995,2017,274,13222,1432,4.257,3.905,10,4779902,0,0,1995,249,8,241,0.08672086720867209,2820.193638611106,0.000291373658898042,BIO,1
0oj4N0sAAAAJ,EDMUND D BRODIE ,BIO,51,108,1970,2016,147,8265,533,6.168,3.571,33,7037340,0,0,1970,295,16,279,0.08260869565217391,15553.834218622318,0.0004960911962521548,BIO,50
0pdiFKEAAAAJ,NIKOS HARDAVELLAS ,CS,19,26,1993,2016,28,1599,375,0.97,5.071,2,365644,0,0,1990,160,10,150,0.16129032258064516,1572.1146558934677,0.00024719892417437577,CS,34
0pdOqkQAAAAJ,MEHMET KOYUTUERK ,CS,24,33,2004,2015,47,1873,302,3.513,4.149,0,0,0,0,2000,212,4,208,0.4482758620689655,3310.822929346677,0.0001383059766557396,CS,70
0qFMG6jnGtAC,GANESAN SENTHIL KUMAR ,BIO,8,7,2005,2016,13,167,30,4.784,6,0,0,0,0,2005,36,2,34,0.21739130434782608,3867,0.00014809763888564814,XD,34
0Qr2IGwAAAAJ,ZORAN POPOVI ,CS,45,81,1999,2016,66,9478,948,6.345,5.106,13,11636446,0,0,1995,309,20,289,0.48677248677248675,14124.520986316755,0.0005220413023774728,XD,6
0r5B_WMAAAAJ,DAVID MICHAEL BADDELEY ,BIO,20,25,2006,2016,39,1253,161,5.287,6.564,0,0,3,303600,2005,77,2,75,0.14166666666666666,2669.5592694602146,0.0001138534014062766,XD,7
0R9w80MAAAAJ,YOHANNES T GHEBREMARIAM ,BIO,14,17,2005,2015,22,500,99,5.449,5.727,0,0,1,123205,2005,70,0,70,0.12121212121212122,0,0,BIO,25
0RAmmIAAAAAJ,KYUNGHYUN CHO ,CS,26,45,2010,2017,76,5177,1107,2.026,4.974,0,0,0,0,2010,168,4,164,0.0872093023255814,385.70441003982097,0.0001247845423444602,CS,29
0RMteS0AAAAJ,SHIVAKANT MISHRA ,CS,29,61,1987,2016,141,4224,420,1.334,3.511,9,5864714,0,0,1985,170,4,166,0.13559322033898305,393.30959826713763,0.0001235687163976343,CS,40
0SHFWCkAAAAJ,HEIDI S FISHER ,BIO,14,16,2002,2014,17,1340,544,5.487,3.824,0,0,0,0,2000,38,1,37,0.09375,0,0.00006371988412794157,BIO,55
0skgDnMAAAAJ,ALFRED CHARLES WEAVER ,CS,25,61,1977,2014,116,2151,165,2.592,2.345,5,1881179,0,0,1975,77,0,77,0.06756756756756757,0,0,CS,29
